Trial,Odd_Count
1,3
2,8
3,5
4,4
5,2
6,3
7,5
8,6
9,4
10,6
11,5
12,7
13,4
14,3
15,5
16,4
17,3
18,4
19,2
20,3
21,6
22,5
23,7
24,2
25,6
26,3
27,4
28,4
29,5
30,4
31,5
32,2
33,3
34,4
35,4
36,6
37,5
38,7
39,4
40,4
41,6
42,5
43,6
44,7
45,7
46,5
47,5
48,5
49,6
50,3
51,5
52,7
53,5
54,4
55,7
56,5
57,4
58,3
59,6
60,5
61,4
62,7
63,7
64,6
65,4
66,7
67,7
68,7
69,7
70,3
71,5
72,4
73,4
74,6
75,7
76,7
77,3
78,4
79,3
80,5
81,6
82,2
83,5
84,7
85,5
86,5
87,8
88,3
89,5
90,6
91,6
92,4
93,6
94,5
95,6
96,3
97,4
98,6
99,5
100,2
101,7
102,4
103,6
104,3
105,2
106,5
107,5
108,1
109,5
110,4
111,7
112,2
113,4
114,5
115,8
116,7
117,6
118,4
119,6
120,3
121,5
122,6
123,6
124,4
125,6
126,3
127,3
128,5
129,5
130,5
131,6
132,4
133,6
134,6
135,5
136,4
137,4
138,4
139,4
140,5
141,5
142,4
143,4
144,4
145,2
146,3
147,4
148,3
149,7
150,5
151,3
152,4
153,4
154,6
155,4
156,6
157,3
158,7
159,7
160,5
161,3
162,4
163,4
164,6
165,2
166,4
167,3
168,5
169,6
170,5
171,5
172,4
173,5
174,4
175,7
176,6
177,6
178,6
179,4
180,5
181,6
182,5
183,5
184,3
185,5
186,4
187,6
188,5
189,3
190,6
191,6
192,3
193,8
194,6
195,7
196,4
197,6
198,8
199,6
200,4
201,6
202,6
203,3
204,5
205,8
206,8
207,5
208,5
209,4
210,6
211,6
212,5
213,4
214,3
215,4
216,5
217,3
218,4
219,3
220,5
221,5
222,5
223,5
224,6
225,4
226,5
227,4
228,5
229,5
230,6
231,2
232,5
233,5
234,5
235,4
236,3
237,2
238,5
239,5
240,6
241,4
242,4
243,5
244,6
245,5
246,4
247,5
248,6
249,8
250,5
251,8
252,2
253,1
254,5
255,3
256,4
257,6
258,4
259,5
260,3
261,7
262,4
263,6
264,5
265,5
266,6
267,6
268,3
269,5
270,6
271,7
272,7
273,7
274,9
275,4
276,2
277,7
278,2
279,5
280,5
281,7
282,3
283,6
284,6
285,6
286,2
287,4
288,10
289,5
290,4
291,6
292,5
293,6
294,9
295,3
296,6
297,4
298,3
299,8
300,4
301,5
302,4
303,7
304,6
305,3
306,4
307,5
308,6
309,5
310,6
311,4
312,7
313,5
314,6
315,3
316,8
317,4
318,6
319,1
320,8
321,7
322,5
323,6
324,3
325,6
326,6
327,4
328,5
329,2
330,5
331,5
332,5
333,3
334,4
335,6
336,4
337,4
338,4
339,5
340,6
341,4
342,8
343,8
344,5
345,5
346,5
347,5
348,4
349,6
350,5
351,7
352,6
353,7
354,5
355,6
356,6
357,6
358,6
359,6
360,6
361,7
362,5
363,5
364,7
365,7
366,3
367,5
368,4
369,6
370,5
371,5
372,5
373,1
374,2
375,2
376,4
377,4
378,5
379,5
380,8
381,6
382,3
383,6
384,7
385,3
386,8
387,5
388,4
389,6
390,5
391,3
392,3
393,3
394,3
395,6
396,4
397,6
398,5
399,8
400,6
401,6
402,4
403,4
404,2
405,7
406,5
407,5
408,4
409,6
410,7
411,9
412,7
413,2
414,5
415,3
416,6
417,3
418,2
419,4
420,4
421,7
422,3
423,4
424,7
425,4
426,6
427,5
428,7
429,5
430,4
431,5
432,6
433,6
434,7
435,4
436,3
437,7
438,5
439,6
440,6
441,3
442,4
443,3
444,5
445,5
446,6
447,3
448,3
449,6
450,3
451,4
452,4
453,6
454,6
455,5
456,8
457,3
458,5
459,2
460,8
461,7
462,4
463,7
464,5
465,6
466,5
467,7
468,5
469,4
470,5
471,3
472,3
